21Shares Bitcoin ETP (21Shares AG/CH0454664001/EUR)		
        24.03.2022
        Date;Price;Volume
24.03.2022;13.734;301
23.03.2022;13.62;0
22.03.2022;13.53;500
21.03.2022;13.18;1890
18.03.2022;13.132;0
17.03.2022;12.938;0
16.03.2022;13.018;7936
15.03.2022;12.372;7
14.03.2022;12.626;4601
11.03.2022;12.546;139
10.03.2022;12.506;648
09.03.2022;13.572;262
08.03.2022;12.528;538
07.03.2022;12.42;320
04.03.2022;13.23;11890
03.03.2022;13.606;1322
02.03.2022;14.06;1403
01.03.2022;13.896;3047
28.02.2022;12.924;1523
25.02.2022;12.194;425
24.02.2022;11.276;17571
23.02.2022;12.02;4609
22.02.2022;11.504;400
21.02.2022;11.892;881
18.02.2022;12.49;2143
17.02.2022;13.074;1264
16.02.2022;13.476;11275
15.02.2022;13.75;981
14.02.2022;13.27;2
11.02.2022;13.486;0
10.02.2022;13.846;9296
09.02.2022;13.47;100
08.02.2022;13.49;0
07.02.2022;13.514;3956
04.02.2022;12.398;13993
03.02.2022;11.364;3113
02.02.2022;11.642;15211
01.02.2022;12.256;4811
31.01.2022;11.916;1251
28.01.2022;11.67;1400
27.01.2022;11.682;410
26.01.2022;11.928;7354
25.01.2022;11.53;6692
24.01.2022;10.398;23697
21.01.2022;12.018;11616
20.01.2022;13.466;0
19.01.2022;12.976;0
18.01.2022;12.85;560
17.01.2022;13.146;1200
14.01.2022;13.33;200
13.01.2022;13.51;1489
12.01.2022;13.588;11358
11.01.2022;13.13;2295
10.01.2022;13.034;12143
07.01.2022;12.922;16713
06.01.2022;13.38;1966
05.01.2022;14.4;40
04.01.2022;14.624;1250
03.01.2022;14.52;0
30.12.2021;14.802;3403
29.12.2021;14.87;17751
28.12.2021;15.162;7639
27.12.2021;15.88;1010
23.12.2021;15.106;2817
22.12.2021;15.4;77
21.12.2021;15.214;0
20.12.2021;14.41;6868
17.12.2021;14.434;610
16.12.2021;15.26;250
15.12.2021;14.832;3116
14.12.2021;14.78;10000
13.12.2021;15;2950
10.12.2021;14.85;4273
09.12.2021;15.222;16146
08.12.2021;15.77;8450
07.12.2021;16.3;1859
06.12.2021;15.266;22450
03.12.2021;17.342;47652
02.12.2021;17.59;4316
01.12.2021;18.282;5733
30.11.2021;17.97;19403
29.11.2021;17.884;91
26.11.2021;17.064;20012
25.11.2021;18.664;3500
24.11.2021;17.676;10401
23.11.2021;18.022;12027
22.11.2021;18.294;14284
19.11.2021;18.12;8337
18.11.2021;17.934;11069
17.11.2021;18.934;3820
16.11.2021;19.046;7810
15.11.2021;19.84;1702
12.11.2021;19.752;100
11.11.2021;20.005;4050
10.11.2021;20.39;740
09.11.2021;20.65;13155
08.11.2021;20.23;14685
05.11.2021;18.64;9518
04.11.2021;18.824;4641
03.11.2021;18.932;355
02.11.2021;19.28;2730
01.11.2021;18.784;2429
29.10.2021;18.968;11845
28.10.2021;18.642;20355
27.10.2021;18.082;12907
26.10.2021;18.942;22837
25.10.2021;19.286;1850
22.10.2021;18.552;11789
