21Shares Bitcoin ETP (21Shares AG/CH0454664001/GBP)		
        24.03.2022
        Date;Price;Volume
24.03.2022;11.472;4
23.03.2022;11.196;6
22.03.2022;11.45;9
21.03.2022;11.052;2
18.03.2022;11.024;0
17.03.2022;10.984;4
16.03.2022;10.954;4119
15.03.2022;10.392;2
14.03.2022;10.496;0
11.03.2022;10.422;0
10.03.2022;10.434;1072
09.03.2022;11.336;0
08.03.2022;10.318;0
07.03.2022;10.566;0
04.03.2022;10.846;0
03.03.2022;11.206;3079
02.03.2022;11.792;826
01.03.2022;11.564;5959
28.02.2022;10.172;816
25.02.2022;10.106;4899
24.02.2022;9.419;10106
23.02.2022;10.02;4709
22.02.2022;9.776;0
21.02.2022;10.104;1000
18.02.2022;10.3;95
17.02.2022;10.978;816
16.02.2022;11.316;0
15.02.2022;11.482;0
14.02.2022;11.17;0
11.02.2022;11.31;0
10.02.2022;11.732;2280
09.02.2022;11.422;0
08.02.2022;11.368;0
07.02.2022;11.468;0
04.02.2022;10.492;0
03.02.2022;9.506;1324
02.02.2022;9.809;876
01.02.2022;10.224;816
31.01.2022;9.926;816
28.01.2022;9.748;0
27.01.2022;9.683;0
26.01.2022;9.944;0
25.01.2022;9.6;0
24.01.2022;8.914;16618
21.01.2022;9.878;18384
20.01.2022;10.894;91
19.01.2022;10.732;50
18.01.2022;10.774;0
17.01.2022;10.94;0
14.01.2022;11.154;0
13.01.2022;11.154;0
12.01.2022;11.354;3372
11.01.2022;11.052;816
10.01.2022;10.818;8289
07.01.2022;10.556;7373
06.01.2022;11.186;816
05.01.2022;12.13;0
04.01.2022;12.246;82
03.01.2022;12.182;0
30.12.2021;12.38;0
29.12.2021;12.498;5191
28.12.2021;12.958;1135
27.12.2021;13.496;0
23.12.2021;12.868;0
22.12.2021;13.01;0
21.12.2021;13.026;20
20.12.2021;12.328;0
17.12.2021;12.312;1124
16.12.2021;12.868;0
15.12.2021;12.876;85
14.12.2021;12.564;0
13.12.2021;12.564;0
10.12.2021;12.766;0
09.12.2021;13.042;0
08.12.2021;13.49;0
07.12.2021;13.748;0
06.12.2021;13.006;7911
03.12.2021;14.802;24641
02.12.2021;14.96;5848
01.12.2021;15.136;3109
30.11.2021;15.46;13460
29.11.2021;15.18;0
26.11.2021;14.422;8095
25.11.2021;15.664;0
24.11.2021;15.024;0
23.11.2021;15.024;1535
22.11.2021;15.252;0
19.11.2021;15.202;0
18.11.2021;15.104;5257
17.11.2021;15.988;3014
16.11.2021;15.812;8821
15.11.2021;16.918;0
12.11.2021;16.544;1418
11.11.2021;17.27;0
10.11.2021;17.968;0
09.11.2021;17.43;0
08.11.2021;17.08;3933
05.11.2021;15.96;3009
04.11.2021;16.086;3725
03.11.2021;16.156;0
02.11.2021;16.574;0
01.11.2021;15.96;2245
29.10.2021;15.746;3375
28.10.2021;15.728;630
27.10.2021;15.11;20116
26.10.2021;16.048;25766
25.10.2021;16.274;0
22.10.2021;15.824;8308
