21Shares Bitcoin ETP (21Shares AG/CH0454664001/USD)		
        24.03.2022
        Date;Price;Volume
24.03.2022;15.422;30184
23.03.2022;15.08;73138
22.03.2022;14.99;49741
21.03.2022;14.5;68929
18.03.2022;14.526;29049
17.03.2022;14.35;55561
16.03.2022;14.208;88114
15.03.2022;13.704;36793
14.03.2022;13.7;8221
11.03.2022;13.856;55383
10.03.2022;13.778;26094
09.03.2022;15;371713
08.03.2022;13.508;20505
07.03.2022;13.9;29553
04.03.2022;14.32;44534
03.03.2022;15.01;62495
02.03.2022;15.646;28034
01.03.2022;15.334;95879
28.02.2022;14.496;105703
25.02.2022;13.924;71307
24.02.2022;12.664;156301
23.02.2022;13.522;47637
22.02.2022;13.292;93023
21.02.2022;13.75;69796
18.02.2022;14.132;313311
17.02.2022;14.822;18716
16.02.2022;15.378;11731
15.02.2022;15.542;211889
14.02.2022;15.094;182183
11.02.2022;15.374;52163
10.02.2022;16;57543
09.02.2022;15.49;87741
08.02.2022;15.36;192768
07.02.2022;15.5;183051
04.02.2022;14.198;107133
03.02.2022;13.08;98977
02.02.2022;13.116;53562
01.02.2022;13.774;40166
31.01.2022;13.374;12353
28.01.2022;13.052;47376
27.01.2022;12.836;59623
26.01.2022;13.486;161177
25.01.2022;12.986;151669
24.01.2022;12.14;571289
21.01.2022;13.754;527183
20.01.2022;15.286;15389
19.01.2022;14.822;60978
18.01.2022;14.664;71812
17.01.2022;14.982;43935
14.01.2022;15.22;116147
13.01.2022;15.284;59129
12.01.2022;15.37;254859
11.01.2022;14.96;54924
10.01.2022;14.708;104988
07.01.2022;14.676;244793
06.01.2022;15.17;218406
05.01.2022;16.466;154798
04.01.2022;16.5;24514
03.01.2022;16.4;79741
30.12.2021;16.72;69791
29.12.2021;16.884;125693
28.12.2021;17.15;21300
27.12.2021;18.088;83415
23.12.2021;17.332;66055
22.12.2021;17.4;11438
21.12.2021;17.16;47843
20.12.2021;16.286;47086
17.12.2021;16.506;25951
16.12.2021;17.144;13430
15.12.2021;16.582;18109
14.12.2021;16.56;51005
13.12.2021;16.5;117874
10.12.2021;16.812;80763
09.12.2021;17.204;16450
08.12.2021;17.922;61667
07.12.2021;18.35;33809
06.12.2021;17.32;313379
03.12.2021;19.568;145457
02.12.2021;19.88;22861
01.12.2021;20.815;111731
30.11.2021;20.265;163934
29.11.2021;20.22;189876
26.11.2021;19.166;199319
25.11.2021;20.925;21769
24.11.2021;20.12;39486
23.11.2021;20.315;61672
22.11.2021;20.505;727118
19.11.2021;20.495;167314
18.11.2021;20.335;171834
17.11.2021;21.2;99465
16.11.2021;21.52;278873
15.11.2021;22.73;84255
12.11.2021;22.375;46384
11.11.2021;23.03;119145
10.11.2021;24.305;83299
09.11.2021;23.56;95314
08.11.2021;23.36;179655
05.11.2021;21.6;144469
04.11.2021;21.665;180641
03.11.2021;22.105;212130
02.11.2021;22.605;244908
01.11.2021;21.695;89007
29.10.2021;22.105;199658
28.10.2021;21.73;57651
27.10.2021;20.91;181794
26.10.2021;21.96;142240
25.10.2021;22.45;147221
22.10.2021;21.58;129629
